id,code,head_station_sign_off_duration,head_station_sign_on_duration,name,number_of_beds,out_station_sign_off_duration,out_station_sign_on_duration
1602,"BHW",30,30,"BARHARWA JN",1,30,30
1603,"BKLE",30,30,"BAKUDI",1,30,30
1604,"BKSL",30,30,"BIKRAM SHILA(HALT)",1,30,30
1605,"BQZ",30,30,"BALLALPUR",1,30,30
1606,"BUP",30,30,"BARIARPUR",1,30,30
1607,"CLG",30,30,"KAHALGAON",1,30,30
1608,"CMX",30,30,"CHAMAGRAM",1,30,30
1609,"CTMP",30,30,"CHHIT MAKANDPUR",1,30,30
1610,"DDX",30,30,"DHAMDHAMIA",1,30,30
1611,"DGLE",30,30,"DHULIAN GANGA",1,30,30
1612,"DNRE",30,30,"DHANAURI",1,30,30
1613,"DRH",30,30,"DHARHARA",1,30,30
1614,"DRTP",30,30,"DASHARATHPUR",1,30,30
1615,"DWLE",30,30,"DHAUNI",1,30,30
1616,"EKC",30,30,"EKCHARI",1,30,30
1617,"GALE",30,30,"GANKAR",1,30,30
1618,"GGA",30,30,"GHOGA",1,30,30
1619,"GIBP",30,30,"Ghogi Bariarpur",1,30,30
1620,"GIF",30,30,"GANI DHAM HALT",1,30,30
1621,"GNNA",30,30,"GANGANI",1,30,30
1622,"GOG",30,30,"GHORGHAT",1,30,30
1623,"GZM",30,30,"GOUR MALDA",1,30,30
1624,"HPLB",30,30,"HATPURANI",1,30,30
1625,"HPLE",30,30,"HATPURAINI",1,30,30
1626,"HSDA",30,30,"HANSDIHA",1,30,30
1627,"JDPT",30,30,"JAGDISHPUR",1,30,30
1628,"JMP",30,30,"JAMALPUR JN",1,30,30
1629,"JMQ",30,30,"JAMIRGHATA",1,30,30
1630,"JRLE",30,30,"JANGIPUR ROAD",1,30,30
1631,"KADL",30,30,"Kumradol",1,30,30
1632,"KAPP",30,30,"Khariapipra  Halt",1,30,30
1633,"KJH",30,30,"KAJRA",1,30,30
1634,"KKTA",30,30,"KOLLIKHUTAHA",1,30,30
1635,"KMGH",30,30,"Kamarganj",1,30,30
1636,"KPRD",30,30,"KALYANPUR ROAD",1,30,30
1637,"KPTO",30,30,"KARANPUR ATO",1,30,30
1638,"KRMA",30,30,"KARAMTOLA",1,30,30
1639,"KTJ",30,30,"KHALTIPUR",1,30,30
1640,"KXE",30,30,"KALIAN CHAK",1,30,30
1641,"LKB",30,30,"LAKSHMIPUR BHORANG",1,30,30
1642,"LMM",30,30,"LAILAKH MAMLKHA",1,30,30
1643,"MDLE",30,30,"MANDAR HILL",1,30,30
1644,"MGLE",30,30,"MANIGRAM",1,30,30
1645,"MJP",30,30,"MOHARAJPUR",1,30,30
1646,"MLDT",30,30,"MALDA TOWN",1,30,30
1647,"MPLE",30,30,"MAHIPAL",1,30,30
1648,"MPLR",30,30,"MAHIPAL ROAD",1,30,30
1649,"MPY",30,30,"MURARPUR",1,30,30
1650,"MRHA",30,30,"Murahara",1,30,30
1651,"MRLI",30,30,"MURLI HALT",1,30,30
1652,"MSDN",30,30,"MASUDAN",1,30,30
1653,"MVV",30,30,"MAHESHI",1,30,30
1654,"MZC",30,30,"MIRZA CHEUKI",1,30,30
1655,"NAT",30,30,"NATHNAGAR",1,30,30
1656,"NFK",30,30,"NEW FARAKKA JN",1,30,30
1657,"NFKA",30,30,"NEW FARAKKA A CABIN",1,30,30
1658,"NFKB",30,30,"NEW FARAKKA-B-CABIN",1,30,30
1659,"NFKS",30,30,"NEW FARAKKA S CABIN",1,30,30
1660,"NILE",30,30,"NIMITITA",1,30,30
1661,"NWMS",30,30,"NOAPARA MAHISHASUR H",1,30,30
1662,"PATM",30,30,"Patam",1,30,30
1663,"PETA",30,30,"Pandetola",1,30,30
1664,"PNSA",30,30,"PUNSIA",1,30,30
1665,"PPDI",30,30,"Pipradih",1,30,30
1666,"PPT",30,30,"PIRPAINTI",1,30,30
1667,"PRDG",30,30,"PORADANGA HALT",1,30,30
1668,"PWBN",30,30,"PAWAI BROHMASTHAN  HALT",1,30,30
1669,"RIKD",30,30,"Rishikund",1,30,30
1670,"RJL",30,30,"RAJMAHAL",1,30,30
1671,"RMPR",30,30,"RAMPUR  HALT",1,30,30
1672,"RPUR",30,30,"RATANPUR",1,30,30
1673,"SBG",30,30,"SAHIBGANJ JN",1,30,30
1674,"SBO",30,30,"SABAUR",1,30,30
1675,"SGG",30,30,"SULTANGANJ",1,30,30
1676,"SJJ",30,30,"SANJHA",1,30,30
1677,"SLJ",30,30,"SAKRIGALI JN",1,30,30
1678,"SPLE",30,30,"SUJNIPARA",1,30,30
1679,"SRBG",30,30,"SAROBAG",1,30,30
1680,"SVRP",30,30,"SHIVANARAYANPUR",1,30,30
1681,"SXP",30,30,"SANKOPARA",1,30,30
1682,"TDLE",30,30,"TILDANGA",1,30,30
1683,"TELY",30,30,"Telia",1,30,30
1684,"TKLE",30,30,"TIKANI",1,30,30
1685,"TLJ",30,30,"TALJHARI",1,30,30
1686,"TPH",30,30,"TINPAHAR JN",1,30,30
1687,"UREN",30,30,"UREN",1,30,30
1688,"AG",30,30,"ARANGHATA",1,30,30
1689,"AGP",30,30,"AGARPARA",1,30,30
1690,"AKIP",30,30,"AKAIPUR HALT",1,30,30
1691,"AKRA",30,30,"AKRA",1,30,30
1692,"ASKR",30,30,"ASHOK NAGAR RD",1,30,30
1693,"BARN",30,30,"BARANAGAR ROAD",1,30,30
1694,"BARU",30,30,"BAHARU",1,30,30
1695,"BBDB",30,30,"BENOY BADAL DINESH B",1,30,30
1696,"BBLA",30,30,"BHYABLA HALT",1,30,30
1697,"BBR",30,30,"BAGH BAZAR",1,30,30
1698,"BBT",30,30,"BIRATI",1,30,30
1699,"BDYP",30,30,"BIDYADHARPUR",1,30,30
1700,"BDZ",30,30,"BADKULLA",1,30,30
1701,"BEB",30,30,"BELDANGA",1,30,30
1702,"BFT",30,30,"BHABTA",1,30,30
1703,"BGB",30,30,"BUDGE BUDGE",1,30,30
1704,"BGJT",30,30,"BAGHA JATIN",1,30,30
1705,"BGL",30,30,"BAGULA",1,30,30
1706,"BGRD",30,30,"BELIAGHATA ROAD",1,30,30
1707,"BHGH",30,30,"BHAIRGACHHI",1,30,30
1708,"BHKA",30,30,"BAHIRA KALIBARI (HAL",1,30,30
1709,"BHNA",30,30,"BHAYNA",1,30,30
1710,"BHPA",30,30,"BAHRUPIYA HALT",1,30,30
1711,"BIJ",30,30,"BIRNAGAR",1,30,30
1712,"BIRA",30,30,"BIRA",1,30,30
1713,"BLH",30,30,"BELGHARIA",1,30,30
1714,"BLN",30,30,"BALLYGUNGE JN",1,30,30
1715,"BLYG",30,30,"BALLY GHAT",1,30,30
1716,"BMG",30,30,"BAMANGACHHI",1,30,30
1717,"BNAA",30,30,"Bibhuti Bhushan  H",1,30,30
1718,"BNBA",30,30,"BIMANBANDER[HALT]",1,30,30
1719,"BNJ",30,30,"BANGAON JN",1,30,30
1720,"BNKA",30,30,"BANKIM NAGAR",1,30,30
1721,"BNXR",30,30,"BIDHAN NAGAR",1,30,30
1722,"BP",30,30,"BARRACKPORE",1,30,30
1723,"BPC",30,30,"BERHAMPORE CRT",1,30,30
1724,"BPD",30,30,"BAHADURPUR",1,30,30
1725,"BPN",30,30,"BANPUR",1,30,30
1726,"BQG",30,30,"BHAGWANGOLA",1,30,30
1727,"BRJ",30,30,"BRACE BRIDGE",1,30,30
1728,"BRP",30,30,"BARUIPUR JN",1,30,30
1729,"BRPK",30,30,"BISHARPARA KODALIA",1,30,30
1730,"BSD",30,30,"BASULDANGA",1,30,30
1731,"BSHT",30,30,"BASIRHAT",1,30,30
1732,"BSLA",30,30,"BHASILA",1,30,30
1733,"BT",30,30,"BARASAT",1,30,30
1734,"BTKB",30,30,"BATHNA KRITTI BAS",1,30,30
1735,"BTPG",30,30,"BETHERIA GHOLA",1,30,30
1736,"BTY",30,30,"BETHUADAHARI",1,30,30
1737,"BZB",30,30,"BARRA BAZAR",1,30,30
1738,"CDH",30,30,"CHAKDAHA",1,30,30
1739,"CDP",30,30,"CHANDPARA",1,30,30
1740,"CG",30,30,"CANNING",1,30,30
1741,"CHT",30,30,"CHAMPAHATI",1,30,30
1742,"CPHT",30,30,"Coopers Halt ",1,30,30
1743,"CQR",30,30,"CHAMPAPUKUR",1,30,30
1744,"CSZ",30,30,"COSSIMBAZAR",1,30,30
1745,"D",30,30,"DEULA",1,30,30
1746,"DAKE",30,30,"DAKHINESWAR",1,30,30
1747,"DBT",30,30,"DAKSHIN BARASAT",1,30,30
1748,"DDC",30,30,"DUM DUM CANT",1,30,30
1749,"DDJ",30,30,"DUM DUM",1,30,30
1750,"DEB",30,30,"DEBAGRAM",1,30,30
1751,"DGNR",30,30,"DURGANAGAR",1,30,30
1752,"DH",30,30,"DIAMOND HARBOUR",1,30,30
1753,"DHK",30,30,"DHAKURIA",1,30,30
1754,"DHU",30,30,"DHUBULIA",1,30,30
1755,"DKDP",30,30,"DAKSHIN DURGAPR",1,30,30
1756,"DMU",30,30,"DHAMUA",1,30,30
1757,"DPDP",30,30,"DHAPDHAPI",1,30,30
1758,"DTK",30,30,"DATTAPUKUR",1,30,30
1759,"EDG",30,30,"EDEN GARDENS",1,30,30
1760,"FLU",30,30,"PHULIA",1,30,30
1761,"GBG",30,30,"GOBARDANGA",1,30,30
1762,"GCN",30,30,"GOCHARAN",1,30,30
1763,"GEDE",30,30,"GEDE",1,30,30
1764,"GGP",30,30,"GANGNAPUR",1,30,30
1765,"GGV",30,30,"GHOVARASH GHONA",1,30,30
1766,"GIA",30,30,"GARIA",1,30,30
1767,"GN",30,30,"GOPAL NAGAR",1,30,30
1768,"GOF",30,30,"GHUTIARI SHARIF",1,30,30
1769,"GQD",30,30,"GOURDAHA (HALT)",1,30,30
1770,"GUMA",30,30,"GUMA",1,30,30
1771,"GURN",30,30,"GURUDAS NAGAR",1,30,30
1772,"HB",30,30,"HABRA",1,30,30
1773,"HBE",30,30,"HABIBPUR",1,30,30
1774,"HGA",30,30,"HOGLA",1,30,30
1775,"HHR",30,30,"HRIDAYPUR",1,30,30
1776,"HLR",30,30,"HALISAHAR",1,30,30
1777,"HNB",30,30,"HASANABAD",1,30,30
1778,"HRO",30,30,"HARUA ROAD",1,30,30
1779,"HRSR",30,30,"HARISH NAGAR HALT",1,30,30
1780,"HT",30,30,"HOTAR",1,30,30
1781,"IP",30,30,"ICHHAPUR",1,30,30
1782,"JDP",30,30,"JADABPUR",1,30,30
1783,"JGDL",30,30,"JAGADAL",1,30,30
1784,"JJG",30,30,"JIAGANJ",1,30,30
1785,"JKL",30,30,"JALALKHALI HALT",1,30,30
1786,"JNM",30,30,"JAYNGR MAJLIPUR",1,30,30
1787,"KBGH",30,30,"KAREA KDMBGACHI",1,30,30
1788,"KDH",30,30,"KHARDAHA",1,30,30
1789,"KGK",30,30,"KANKURGACHHI ROAD JN",1,30,30
1790,"KHGR",30,30,"Kashinagar Halt",1,30,30
1791,"KIRP",30,30,"Khidirpur",1,30,30
1792,"KLKR",30,30,"KALIKAPUR",1,30,30
1793,"KLNP",30,30,"KALINARYNPUR JN",1,30,30
1794,"KLW",30,30,"KALWAN HALT",1,30,30
1795,"KLYG",30,30,"KALYANI GHOSHPARA",1,30,30
1796,"KLYM",30,30,"KALYANI SIMANTA",1,30,30
1797,"KLYS",30,30,"KALYANI SILPANCHAL",1,30,30
1798,"KMZA",30,30,"KANKRA MIRZANGR",1,30,30
1799,"KNJ",30,30,"KRISHNGR CTY JN",1,30,30
1800,"KNJI",30,30,"KARANJALI  HALT",1,30,30
1801,"KNR",30,30,"KANKINARA",1,30,30
1802,"KOAA",30,30,"KOLKATTA TERMINAL",1,30,30
1803,"KPA",30,30,"KANCHRAPARA",1,30,30
1804,"KRP",30,30,"KRISHNAPUR",1,30,30
1805,"KRXM",30,30,"KRISHNAMOHAN (HALT)",1,30,30
1806,"KWDP",30,30,"KWAKDWIP",1,30,30
1807,"KYI",30,30,"KALYANI",1,30,30
1808,"KYP",30,30,"KALYANPUR",1,30,30
1809,"KZPR",30,30,"KAZIPARA",1,30,30
1810,"LBTL",30,30,"LEBUTALA",1,30,30
1811,"LGL",30,30,"LALGOLA",1,30,30
1812,"LKF",30,30,"LAKE GARDENS",1,30,30
1813,"LKPR",30,30,"LAKSHMIKANTPUR",1,30,30
1814,"MAJ",30,30,"MAJHERGRAM",1,30,30
1815,"MAK",30,30,"MALLIKPUR",1,30,30
1816,"MBB",30,30,"MURSHIDABAD",1,30,30
1817,"MDBP",30,30,"MADHABPUR",1,30,30
1818,"MGM",30,30,"MURAGACHA",1,30,30
1819,"MGT",30,30,"MAGRA HAT",1,30,30
1820,"MIJ",30,30,"MAJHDIA",1,30,30
1821,"MILE",30,30,"MILE-FIVEB",1,30,30
1822,"MJT",30,30,"MAJERHAT",1,30,30
1823,"MMG",30,30,"MADHYAMGRAM",1,30,30
1824,"MPE",30,30,"MALATIPUR",1,30,30
1825,"MPJ",30,30,"MADANPUR",1,30,30
1826,"MPN",30,30,"MADHYAMPUR",1,30,30
1827,"MPRD",30,30,"MATHURAPUR RD",1,30,30
1828,"MSL",30,30,"MACHCHALANDAPUR",1,30,30
1829,"MYHT",30,30,"MAYURHAT",1,30,30
1830,"NACC",30,30,"NEW ALIPUR (CALCUTTA",1,30,30
1831,"NAI",30,30,"NANGI",1,30,30
1832,"NBE",30,30,"NEW BARRACKPORE",1,30,30
1833,"NBPH",30,30,"NEW BALRAMPUR HALT",1,30,30
1834,"NBRN",30,30,"NABA RAYNAGAR HALT",1,30,30
1835,"NCP",30,30,"NISCHINDAPUR",1,30,30
1836,"NH",30,30,"NAIHATI JN",1,30,30
1837,"NMKA",30,30,"NAMKHANA",1,30,30
1838,"NRPR",30,30,"NARENDRAPUR HALT",1,30,30
1839,"NTA",30,30,"NETRA",1,30,30
1840,"PCX",30,30,"PAGLA CHANDI",1,30,30
1841,"PDX",30,30,"PAYRADANGA",1,30,30
1842,"PLF",30,30,"PIALI",1,30,30
1843,"PLY",30,30,"PLASSEY",1,30,30
1844,"PNCB",30,30,"PANCHEBERIA",1,30,30
1845,"PPGT",30,30,"PRINCEP GHAT",1,30,30
1846,"PQS",30,30,"PARK CIRCUS",1,30,30
1847,"PRTL",30,30,"PIRTALA",1,30,30
1848,"PTF",30,30,"PALTA",1,30,30
1849,"PTKR",30,30,"PATIPUKUR",1,30,30
1850,"PXR",30,30,"PALPARA",1,30,30
1851,"REJ",30,30,"REJINAGAR",1,30,30
1852,"RHA",30,30,"RANAGHAT JN",1,30,30
1853,"RMTR",30,30,"Re-mount  Road",1,30,30
1854,"SBGR",30,30,"SUBHAS GRAM",1,30,30
1855,"SBNM",30,30,"SUBARNAMRIGI",1,30,30
1856,"SDAH",30,30,"SEALDAH",1,30,30
1857,"SEP",30,30,"SODPUR",1,30,30
1858,"SGBA",30,30,"SIR GURUDAS BANERJEE",1,30,30
1859,"SGV",30,30,"SARAGCHNI",1,30,30
1860,"SJPR",30,30,"SURJYAPUR",1,30,30
1861,"SMX",30,30,"SIMURALI",1,30,30
1862,"SNHT",30,30,"SANHATI",1,30,30
1863,"SNR",30,30,"SHYAMNAGAR",1,30,30
1864,"SNU",30,30,"SANGRAMPUR",1,30,30
1865,"SOLA",30,30,"SOVABAZAR-AHIRITOLA",1,30,30
1866,"SPR",30,30,"SONARPUR JN",1,30,30
1867,"SRJN",30,30,"SIRAJNAGAR",1,30,30
1868,"SSP",30,30,"SANTOSHPUR",1,30,30
1869,"SSRD",30,30,"SHASAN ROAD",1,30,30
1870,"STB",30,30,"SHANTIPUR",1,30,30
1871,"STBB",30,30,"SATBERIA   H ",1,30,30
1872,"SVH",30,30,"SONADANGA",1,30,30
1873,"SXC",30,30,"SONDALIA",1,30,30
1874,"TALA",30,30,"TALLA",1,30,30
1875,"TGH",30,30,"TITAGARH",1,30,30
1876,"THP",30,30,"TAHERPUR",1,30,30
1877,"TKNR",30,30,"THAKURNAGAR",1,30,30
1878,"TLX",30,30,"TALDI",1,30,30
1879,"TNX",30,30,"TARAK NAGAR",1,30,30
1880,"URP",30,30,"UDAIRAMPUR",1,30,30
1881,"UTN",30,30,"UTTAR RADHANAGAR HAL",1,30,30
1882,"ANKL",30,30,"ANKOLA",1,30,30
1883,"AT",30,30,"ASNOTI",1,30,30
1884,"BIJR",30,30,"BIJOOR",1,30,30
1885,"BKJ",30,30,"BARKUR",1,30,30
1886,"BLLI",30,30,"BALLI",1,30,30
1887,"BTJL",30,30,"BHATKAL",1,30,30
1888,"BYNR",30,30,"BYNDOOR",1,30,30
1889,"CNO",30,30,"CANCONA",1,30,30
1890,"CTTP",30,30,"Chitrapur (H)",1,30,30
1891,"GOK",30,30,"GOKARNA ROAD",1,30,30
1892,"HAA",30,30,"HARWADA",1,30,30
1893,"HNA",30,30,"HONNAVAR",1,30,30
1894,"INJ",30,30,"INNANJE",1,30,30
1895,"KAWR",30,30,"KAWR",1,30,30
1896,"KRMI",30,30,"KARMALI",1,30,30
1897,"KT",30,30,"KUMTA",1,30,30
1898,"KUDA",30,30,"KUNDAPURA",1,30,30
1899,"LOL",30,30,"Loliem",1,30,30
1900,"MADR",30,30,"MADURE",1,30,30
1901,"MANK",30,30,"MANKI",1,30,30
1902,"MAO",30,30,"MADGAON",1,30,30
1903,"MJO",30,30,"MAJORDA",1,30,30
1904,"MRDW",30,30,"MURDESHWAR",1,30,30
1905,"MULK",30,30,"MULKI",1,30,30
1906,"NAND",30,30,"NANDIKOOR",1,30,30
1907,"PDD",30,30,"PADUBIDRI",1,30,30
1908,"PERN",30,30,"PERNEM",1,30,30
1909,"SEN",30,30,"SENAPURA",1,30,30
1910,"SHMI",30,30,"SHIROOR",1,30,30
1911,"SL",30,30,"SURATHKAL",1,30,30
1912,"SRVX",30,30,"SURAVALI",1,30,30
1913,"THVM",30,30,"THIVIM",1,30,30
1914,"TOK",30,30,"THOKUR",1,30,30
1915,"UD",30,30,"UDUPI",1,30,30
1916,"VEN",30,30,"VERNA",1,30,30
1917,"ADVI",30,30,"ADAVALI",1,30,30
1918,"ANO",30,30,"ANJANI",1,30,30
1919,"AVRD",30,30,"ARAVALI ROAD",1,30,30
1920,"BOKE",30,30,"BHOKE",1,30,30
1921,"CHI",30,30,"CHIPLUN",1,30,30
1922,"DWV",30,30,"DIWAN KHAVATI",1,30,30
1923,"GNO",30,30,"GOREGAON ROAD HALT",1,30,30
1924,"INP",30,30,"INDAPUR",1,30,30
1925,"KFD",30,30,"KARANJADI",1,30,30
1926,"KHED",30,30,"KHED",1,30,30
1927,"KKW",30,30,"KANKAVLI",1,30,30
1928,"KMAH",30,30,"KAMATHE",1,30,30
1929,"KOL",30,30,"KOLAD",1,30,30
1930,"KUDL",30,30,"KUDAL",1,30,30
1931,"MNI",30,30,"MANGAON",1,30,30
1932,"NAN",30,30,"NANDGAON ROAD",1,30,30
1933,"NIV",30,30,"NIVASAR",1,30,30
1934,"RAJP",30,30,"RAJAPUR ROAD",1,30,30
1935,"RN",30,30,"RATNAGIRI",1,30,30
1936,"SAPE",30,30,"Sape-Wamne (H)",1,30,30
1937,"SGR",30,30,"SANGMESHWAR",1,30,30
1938,"SNDD",30,30,"SINDHUDURG",1,30,30
1939,"SVX",30,30,"SAVARDA",1,30,30
1940,"SWV",30,30,"SAWANTWADI ROAD",1,30,30
1941,"UKC",30,30,"UKSHI",1,30,30
1942,"VBW",30,30,"VAIBHAVWADI ROAD",1,30,30
1943,"VEER",30,30,"VEER",1,30,30
1944,"VID",30,30,"VILAVADE",1,30,30
1945,"VINH",30,30,"VINHERE",1,30,30
1946,"ZARP",30,30,"ZARAP",1,30,30
1947,"AED",30,30,"AULENDA",1,30,30
1948,"AF",30,30,"AGRA FORT",1,30,30
1949,"AGA",30,30,"AGRA CITY",1,30,30
1950,"AGC",30,30,"AGRA CANTT",1,30,30
1951,"AH",30,30,"ACHHNERA JN",1,30,30
1952,"AJH",30,30,"AJHAI",1,30,30
1953,"BAD",30,30,"BAD",1,30,30
1954,"BAMA",30,30,"BIRAMBAD",1,30,30
1955,"BARS",30,30,"BARSANA",1,30,30
1956,"BCP",30,30,"BICHPURI",1,30,30
1957,"BDB",30,30,"VRINDAVAN",1,30,30
1958,"BEDM",30,30,"BEDHAM",1,30,30
1959,"BEHJ",30,30,"BEHAJ",1,30,30
1960,"BFP",30,30,"BILOCHPURA AGRA",1,30,30
1961,"BHA",30,30,"BHANDAI",1,30,30
1962,"BINR",30,30,"BRIJ NAGAR",1,30,30
1963,"BIQ",30,30,"BANSI PAHARPUR",1,30,30
1964,"BJRA",30,30,"BHAJERA",1,30,30
1965,"BNCR",30,30,"BANCHARI",1,30,30
1966,"BR",30,30,"BANDH BARETA",1,30,30
1967,"BSA",30,30,"BHAINSA",1,30,30
1968,"BTSR",30,30,"BHUTESHWAR",1,30,30
1969,"BUDA",30,30,"BHUDA",1,30,30
1970,"BW",30,30,"BIWAI",1,30,30
1971,"CHJ",30,30,"CHATA",1,30,30
1972,"CHLR",30,30,"CHHALESAR",1,30,30
1973,"CIK",30,30,"CHIKSANA",1,30,30
1974,"DEEG",30,30,"DEEG",1,30,30
1975,"DHO",30,30,"DHAULPUR",1,30,30
1976,"DTF",30,30,"DANTLA",1,30,30
1977,"DXK",30,30,"DHANA KHERLI",1,30,30
1978,"ETUE",30,30,"ETMADPUR",1,30,30
1979,"FAR",30,30,"FARAH",1,30,30
1980,"FHT",30,30,"FARAH TOWN",1,30,30
1981,"FTS",30,30,"FATEHPUR SIKRI",1,30,30
1982,"GDO",30,30,"Goverdhan",1,30,30
1983,"GOS",30,30,"GHOSRANA",1,30,30
1984,"GVH",30,30,"GOVIND GARH",1,30,30
1985,"GZKA",30,30,"GAZIKA",1,30,30
1986,"HDL",30,30,"HODAL",1,30,30
1987,"HK",30,30,"HELAK",1,30,30
1988,"IDH",30,30,"IDGAH AGRA JN",1,30,30
1989,"IK",30,30,"IKRAN",1,30,30
1990,"JAB",30,30,"YAMUNA BDG AGRA",1,30,30
1991,"JBS",30,30,"JADOLI KA BAS",1,30,30
1992,"JJ",30,30,"JAJAU",1,30,30
1993,"JREA",30,30,"JHAREDA",1,30,30
1994,"KBP",30,30,"KUBERPUR",1,30,30
1995,"KHSN",30,30,"KHHERA SANDHAN",1,30,30
1996,"KL",30,30,"KHERIL",1,30,30
1997,"KLB",30,30,"KIRAOLI",1,30,30
1998,"KPO",30,30,"KARANPURA",1,30,30
1999,"KSV",30,30,"KOSI KALAN",1,30,30
2000,"KXM",30,30,"KITHAM",1,30,30
2001,"MIA",30,30,"MANIA",1,30,30
2002,"MIQ",30,30,"MIRHAKUR",1,30,30
2003,"MROA",30,30,"MORA",1,30,30
2004,"MSE",30,30,"MASANI",1,30,30
2005,"MTJ",30,30,"MATHURA JN",1,30,30
2006,"MURD",30,30,"MANDAWAR M RD",1,30,30
2007,"NBI",30,30,"NADBAI",1,30,30
2008,"NGLT",30,30,"NAGLATULA",1,30,30
2009,"NHB",30,30,"NOH BACHHAMDI",1,30,30
2010,"OTD",30,30,"OOTWAR",1,30,30
2011,"PPEA",30,30,"PAPRERA",1,30,30
2012,"PRK",30,30,"PARKHAM",1,30,30
2013,"PTLI",30,30,"PATHAULI",1,30,30
2014,"RAH",30,30,"RAMGARH",1,30,30
2015,"RAI",30,30,"RAIBHA",1,30,30
2016,"RAKD",30,30,"RADHAKUND",1,30,30
2017,"RBS",30,30,"RUPBAS",1,30,30
2018,"RDE",30,30,"RUNDHI",1,30,30
2019,"RKM",30,30,"RAJA KI MANDI",1,30,30
2020,"RNKA",30,30,"RUNKUTA",1,30,30
2021,"SHGN",30,30,"SHRI GHASINAGAR",1,30,30
2022,"SHLK",30,30,"SHOLAKA",1,30,30
2023,"SKJS",30,30,"SRI KRISHNA JANAM ST",1,30,30
2024,"SNPR",30,30,"SINGARPUR",1,30,30
2025,"TBL",30,30,"TARCHERRA BRLRM",1,30,30
2026,"VRBD",30,30,"VRINDABAN ROAD",1,30,30
2027,"AAP",30,30,"AMBIAPUR",1,30,30
2028,"AGY",30,30,"AGORI KHAS",1,30,30
2029,"AJR",30,30,"AJAIBPUR",1,30,30
2030,"ALD",30,30,"ALLAHABAD JN",1,30,30
2031,"ALJN",30,30,"ALIGARH JN",1,30,30
2032,"AON",30,30,"ARAON",1,30,30
2033,"ARW",30,30,"AHRAURA ROAD",1,30,30
2034,"ASCE",30,30,"ATHSARAI",1,30,30
2035,"AUNG",30,30,"AUNG",1,30,30
2036,"AWG",30,30,"AWA GARH",1,30,30
2037,"BBL",30,30,"BALRAI",1,30,30
2038,"BBLK",30,30,"B L DASPURI",1,30,30
2039,"BDL",30,30,"VINDHYACHAL",1,30,30
2040,"BDN",30,30,"BHADAN",1,30,30
2041,"BDNP",30,30,"BIDANPUR",1,30,30
2042,"BEO",30,30,"BIROHE",1,30,30
2043,"BEP",30,30,"BHEERPUR",1,30,30
2044,"BGQ",30,30,"BHONGAON",1,30,30
2045,"BKO",30,30,"BINDKI ROAD",1,30,30
2046,"BMU",30,30,"BAMHRAULI",1,30,30
2047,"BNT",30,30,"BHARTHANA",1,30,30
2048,"BPU",30,30,"BHAUPUR",1,30,30
2049,"BRE",30,30,"BHARWARI",1,30,30
2050,"BRKY",30,30,"BORAKI",1,30,30
2051,"BRN",30,30,"BARHAN",1,30,30
2052,"BUBT",30,30,"BURAHA  BHARTHARA",1,30,30
2053,"CAR",30,30,"CHUNAR",1,30,30
2054,"CHK",30,30,"CHAKERI",1,30,30
2055,"CHL",30,30,"CHOLA",1,30,30
2056,"CMR",30,30,"CHAMROLA",1,30,30
2057,"CNB",30,30,"KANPUR CENTRAL",1,30,30
2058,"CNBI",30,30,"CHANDARI",1,30,30
2059,"CNBL",30,30,"CNBL",1,30,30
2060,"CNJO",30,30,"JUHI OUTER CABIN",1,30,30
2061,"CNJW",30,30,"HOLDING LINE",1,30,30
2062,"COI",30,30,"CHEOKI",1,30,30
2063,"CPNL",30,30,"C PANEL",1,30,30
2064,"CUK",30,30,"CHURK",1,30,30
2065,"DAP",30,30,"DAGMAGPUR",1,30,30
2066,"DAQ",30,30,"DAUD KHAN",1,30,30
2067,"DAR",30,30,"DANWAR",1,30,30
2068,"DER",30,30,"DADRI",1,30,30
2069,"DKDE",30,30,"DANKAUR",1,30,30
2070,"EKL",30,30,"EKDIL",1,30,30
2071,"ESC",30,30,"CENTRAL",1,30,30
2072,"ETAH",30,30,"ETAH",1,30,30
2073,"ETW",30,30,"ETAWAH",1,30,30
2074,"FTP",30,30,"FATEHPUR",1,30,30
2075,"FYZ",30,30,"FAIZULLAPUR",1,30,30
2076,"FZD",30,30,"FIROZABAD",1,30,30
2077,"GAE",30,30,"GAIPURA",1,30,30
2078,"GHSR",30,30,"GHASARA HALT",1,30,30
2079,"GMC",30,30,"KANPUR GOODS MARSHAL",1,30,30
2080,"GNRL",30,30,"Gangraul Halt",1,30,30
2081,"GOY",30,30,"GOVINDPURI",1,30,30
2082,"HGJ",30,30,"HARDUAGANJ",1,30,30
2083,"HNG",30,30,"HIRANGAON",1,30,30
2084,"HRF",30,30,"HARHRAS QILAH",1,30,30
2085,"HRS",30,30,"HATHRAS JN",1,30,30
2086,"JEP",30,30,"JEONATHPUR",1,30,30
2087,"JGR",30,30,"JASWANTNAGAR",1,30,30
2088,"JHG",30,30,"JHINGURA",1,30,30
2089,"JIA",30,30,"JIGNA",1,30,30
2090,"JJK",30,30,"JHINJHAK",1,30,30
2091,"JLS",30,30,"JALESAR ROAD",1,30,30
2092,"JSC",30,30,"JALESAR CITY",1,30,30
2093,"JWK",30,30,"JWHRPUR KAMSAN",1,30,30
2094,"KAA",30,30,"KAURARA",1,30,30
2095,"KAMP",30,30,"KAMALPUR",1,30,30
